id,domain,backend,mode,factual_accuracy,hallucination_rate,citation_coverage,n_facts_total,n_facts_hit,n_sentences_total,judge_backend,judge_self_bias_risk,judge_overall,judge_accuracy,judge_completeness,judge_logic,judge_citation,judge_readability,elapsed_s,error
rb-022,networking-security,mimo,baseline,1.0000,0.0333,0.0000,7,7,30,mimo-fallback,1,4.360,4.500,4.650,4.900,3.250,4.500,40.25,
rb-023,data-science-stats,mimo,baseline,1.0000,0.3902,0.0000,7,7,41,mimo-fallback,1,4.480,4.650,4.500,4.850,3.850,4.550,36.53,
rb-024,data-science-stats,mimo,baseline,1.0000,0.2759,0.0000,8,8,29,mimo-fallback,1,4.370,4.500,4.650,4.750,3.250,4.700,32.83,
rb-025,data-science-stats,mimo,baseline,1.0000,0.1471,0.0000,7,7,34,mimo-fallback,1,4.630,4.650,4.650,4.700,4.400,4.750,32.34,
rb-026,biomedical,mimo,baseline,0.8750,0.2759,0.0000,8,7,29,mimo-fallback,1,3.910,4.500,4.400,4.550,1.750,4.350,35.62,
rb-027,biomedical,mimo,baseline,1.0000,0.1538,0.0000,7,7,26,mimo-fallback,1,4.000,4.500,4.000,4.500,3.000,4.000,39.25,
rb-028,biomedical,mimo,baseline,0.7143,0.0000,0.0000,7,5,17,mimo-fallback,1,4.670,4.900,4.850,5.000,3.750,4.850,29.98,
rb-029,economics-finance,mimo,baseline,1.0000,0.4000,0.0000,7,7,30,mimo-fallback,1,3.850,3.750,4.000,4.500,2.500,4.500,42.11,
rb-030,economics-finance,mimo,baseline,1.0000,0.6296,0.0000,8,8,27,mimo-fallback,1,4.120,4.500,4.600,4.700,2.000,4.800,36.14,
rb-031,economics-finance,mimo,baseline,1.0000,0.0588,0.0000,7,7,17,mimo-fallback,1,4.190,4.750,4.900,4.950,1.500,4.850,37.52,
rb-032,history-geography,mimo,baseline,1.0000,0.2400,0.0000,7,7,25,mimo-fallback,1,3.850,4.350,4.000,4.250,2.000,4.650,31.67,
rb-033,history-geography,mimo,baseline,1.0000,0.2083,0.0000,7,7,24,mimo-fallback,1,3.830,4.250,4.400,4.650,1.250,4.600,33.55,
rb-034,history-geography,mimo,baseline,0.5714,0.0000,0.0000,7,4,30,mimo-fallback,1,4.010,4.750,4.650,4.900,1.000,4.750,32.36,
rb-035,history-geography,mimo,baseline,1.0000,0.2581,0.0000,7,7,31,mimo-fallback,1,4.020,4.150,4.100,4.450,3.000,4.400,39.97,
